name,country_iso2,ticker,source_item,source
Huntington Bancshares,US,HBAN,,DataHub S&P 500 companies
Huntington Ingalls Industries,US,HII,,DataHub S&P 500 companies
IBM,US,IBM,,DataHub S&P 500 companies
IDEXCorporation,US,IEX,,DataHub S&P 500 companies
Idexx Laboratories,US,IDXX,,DataHub S&P 500 companies
Illinois Tool Works,US,ITW,,DataHub S&P 500 companies
Incyte,US,INCY,,DataHub S&P 500 companies
Ingersoll Rand,US,IR,,DataHub S&P 500 companies
InsuletCorporation,US,PODD,,DataHub S&P 500 companies
Intel,US,INTC,,DataHub S&P 500 companies
Interactive Brokers,US,IBKR,,DataHub S&P 500 companies
Intercontinental Exchange,US,ICE,,DataHub S&P 500 companies
International Flavors & Fragrances,US,IFF,,DataHub S&P 500 companies
International Paper,US,IP,,DataHub S&P 500 companies
Intuit,US,INTU,,DataHub S&P 500 companies
Intuitive Surgical,US,ISRG,,DataHub S&P 500 companies
Invesco,US,IVZ,,DataHub S&P 500 companies
Invitation Homes,US,INVH,,DataHub S&P 500 companies
IQVIA,US,IQV,,DataHub S&P 500 companies
Iron Mountain,US,IRM,,DataHub S&P 500 companies
J.B. Hunt,US,JBHT,,DataHub S&P 500 companies
Jabil,US,JBL,,DataHub S&P 500 companies
Jack Henry & Associates,US,JKHY,,DataHub S&P 500 companies
Jacobs Solutions,US,J,,DataHub S&P 500 companies
Johnson & Johnson,US,JNJ,,DataHub S&P 500 companies
Johnson Controls,US,JCI,,DataHub S&P 500 companies
JPMorgan Chase,US,JPM,,DataHub S&P 500 companies
Kenvue,US,KVUE,,DataHub S&P 500 companies
Keurig Dr Pepper,US,KDP,,DataHub S&P 500 companies
KeyCorp,US,KEY,,DataHub S&P 500 companies
Keysight Technologies,US,KEYS,,DataHub S&P 500 companies
Kimberly-Clark,US,KMB,,DataHub S&P 500 companies
Kimco Realty,US,KIM,,DataHub S&P 500 companies
Kinder Morgan,US,KMI,,DataHub S&P 500 companies
KKR &Co.,US,KKR,,DataHub S&P 500 companies
KLACorporation,US,KLAC,,DataHub S&P 500 companies
Kraft Heinz,US,KHC,,DataHub S&P 500 companies
Kroger,US,KR,,DataHub S&P 500 companies
L3Harris,US,LHX,,DataHub S&P 500 companies
Labcorp,US,LH,,DataHub S&P 500 companies
Lam Research,US,LRCX,,DataHub S&P 500 companies
Las Vegas Sands,US,LVS,,DataHub S&P 500 companies
Leidos,US,LDOS,,DataHub S&P 500 companies
Lennar,US,LEN,,DataHub S&P 500 companies
Lennox International,US,LII,,DataHub S&P 500 companies
Lilly (Eli),US,LLY,,DataHub S&P 500 companies
Lindeplc,US,LIN,,DataHub S&P 500 companies
Live Nation Entertainment,US,LYV,,DataHub S&P 500 companies
Lockheed Martin,US,LMT,,DataHub S&P 500 companies
LoewsCorporation,US,L,,DataHub S&P 500 companies
Lowe's,US,LOW,,DataHub S&P 500 companies
Lululemon Athletica,US,LULU,,DataHub S&P 500 companies
Lumentum,US,LITE,,DataHub S&P 500 companies
LyondellBasell,US,LYB,,DataHub S&P 500 companies
M&T Bank,US,MTB,,DataHub S&P 500 companies
Marathon Petroleum,US,MPC,,DataHub S&P 500 companies
Marriott International,US,MAR,,DataHub S&P 500 companies
Marsh McLennan,US,MRSH,,DataHub S&P 500 companies
Martin Marietta Materials,US,MLM,,DataHub S&P 500 companies
Marvell Technology,US,MRVL,,DataHub S&P 500 companies
Masco,US,MAS,,DataHub S&P 500 companies
Mastercard,US,MA,,DataHub S&P 500 companies
McCormick &Company,US,MKC,,DataHub S&P 500 companies
McDonald's,US,MCD,,DataHub S&P 500 companies
McKessonCorporation,US,MCK,,DataHub S&P 500 companies
Medtronic,US,MDT,,DataHub S&P 500 companies
Merck &Co.,US,MRK,,DataHub S&P 500 companies
Meta Platforms,US,META,,DataHub S&P 500 companies
MetLife,US,MET,,DataHub S&P 500 companies
Mettler Toledo,US,MTD,,DataHub S&P 500 companies
MGM Resorts,US,MGM,,DataHub S&P 500 companies
Microchip Technology,US,MCHP,,DataHub S&P 500 companies
Micron Technology,US,MU,,DataHub S&P 500 companies
Microsoft,US,MSFT,,DataHub S&P 500 companies
Mid-America Apartment Communities,US,MAA,,DataHub S&P 500 companies
Moderna,US,MRNA,,DataHub S&P 500 companies
Molson Coors BeverageCompany,US,TAP,,DataHub S&P 500 companies
Mondelez International,US,MDLZ,,DataHub S&P 500 companies
Monolithic Power Systems,US,MPWR,,DataHub S&P 500 companies
Monster Beverage,US,MNST,,DataHub S&P 500 companies
Moody'sCorporation,US,MCO,,DataHub S&P 500 companies
Morgan Stanley,US,MS,,DataHub S&P 500 companies
Mosaic Company (The),US,MOS,,DataHub S&P 500 companies
Motorola Solutions,US,MSI,,DataHub S&P 500 companies
MSCIInc.,US,MSCI,,DataHub S&P 500 companies
"Nasdaq,Inc.",US,NDAQ,,DataHub S&P 500 companies
NetApp,US,NTAP,,DataHub S&P 500 companies
Newmont,US,NEM,,DataHub S&P 500 companies
News Corp (Class A),US,NWSA,,DataHub S&P 500 companies
News Corp (Class B),US,NWS,,DataHub S&P 500 companies
NextEra Energy,US,NEE,,DataHub S&P 500 companies
"Nike,Inc.",US,NKE,,DataHub S&P 500 companies
NiSource,US,NI,,DataHub S&P 500 companies
NordsonCorporation,US,NDSN,,DataHub S&P 500 companies
Norfolk Southern,US,NSC,,DataHub S&P 500 companies
Northern Trust,US,NTRS,,DataHub S&P 500 companies
Northrop Grumman,US,NOC,,DataHub S&P 500 companies
Norwegian Cruise Line Holdings,US,NCLH,,DataHub S&P 500 companies
NRG Energy,US,NRG,,DataHub S&P 500 companies
Nucor,US,NUE,,DataHub S&P 500 companies
Nvidia,US,NVDA,,DataHub S&P 500 companies
"NVR,Inc.",US,NVR,,DataHub S&P 500 companies
NXP Semiconductors,US,NXPI,,DataHub S&P 500 companies
O’Reilly Automotive,US,ORLY,,DataHub S&P 500 companies
Occidental Petroleum,US,OXY,,DataHub S&P 500 companies
Old Dominion,US,ODFL,,DataHub S&P 500 companies
Omnicom Group,US,OMC,,DataHub S&P 500 companies
ON Semiconductor,US,ON,,DataHub S&P 500 companies
Oneok,US,OKE,,DataHub S&P 500 companies
OracleCorporation,US,ORCL,,DataHub S&P 500 companies
Otis Worldwide,US,OTIS,,DataHub S&P 500 companies
Paccar,US,PCAR,,DataHub S&P 500 companies
Packaging Corporation of America,US,PKG,,DataHub S&P 500 companies
Palantir Technologies,US,PLTR,,DataHub S&P 500 companies
Palo Alto Networks,US,PANW,,DataHub S&P 500 companies
Paramount SkydanceCorporation,US,PSKY,,DataHub S&P 500 companies
Parker Hannifin,US,PH,,DataHub S&P 500 companies
Paychex,US,PAYX,,DataHub S&P 500 companies
PayPal,US,PYPL,,DataHub S&P 500 companies
Pentair,US,PNR,,DataHub S&P 500 companies
PepsiCo,US,PEP,,DataHub S&P 500 companies
Pfizer,US,PFE,,DataHub S&P 500 companies
PG&ECorporation,US,PCG,,DataHub S&P 500 companies
Philip Morris International,US,PM,,DataHub S&P 500 companies
Phillips 66,US,PSX,,DataHub S&P 500 companies
Pinnacle West Capital,US,PNW,,DataHub S&P 500 companies
