name,country_iso2,popularity_count,source_item,source
Venla,FI,8,N-FI-1-F-8,sigpwned popular-names-by-country-dataset
Sofia,FI,9,N-FI-1-F-9,sigpwned popular-names-by-country-dataset
Ellen,FI,10,N-FI-1-F-10,sigpwned popular-names-by-country-dataset
Lea,FO,1,N-FO-1-F-1,sigpwned popular-names-by-country-dataset
LÍV,FO,2,N-FO-1-F-2,sigpwned popular-names-by-country-dataset
Emma,FO,3,N-FO-1-F-3,sigpwned popular-names-by-country-dataset
Julia,FO,4,N-FO-1-F-4,sigpwned popular-names-by-country-dataset
Ria,FO,5,N-FO-1-F-5,sigpwned popular-names-by-country-dataset
SÓLja,FO,6,N-FO-1-F-6,sigpwned popular-names-by-country-dataset
HjØRdis,FO,7,N-FO-1-F-7,sigpwned popular-names-by-country-dataset
Isabella,FO,8,N-FO-1-F-8,sigpwned popular-names-by-country-dataset
Nora,FO,9,N-FO-1-F-9,sigpwned popular-names-by-country-dataset
Ronja,FO,10,N-FO-1-F-10,sigpwned popular-names-by-country-dataset
SofÍA,FO,11,N-FO-1-F-11,sigpwned popular-names-by-country-dataset
VÁR,FO,12,N-FO-1-F-12,sigpwned popular-names-by-country-dataset
Jade,FR,1,N-FR-1-F-1,sigpwned popular-names-by-country-dataset
Emma,FR,2,N-FR-1-F-2,sigpwned popular-names-by-country-dataset
Louise,FR,3,N-FR-1-F-3,sigpwned popular-names-by-country-dataset
Mia,FR,4,N-FR-1-F-4,sigpwned popular-names-by-country-dataset
Alice,FR,5,N-FR-1-F-5,sigpwned popular-names-by-country-dataset
Lina,FR,6,N-FR-1-F-6,sigpwned popular-names-by-country-dataset
Ambre,FR,7,N-FR-1-F-7,sigpwned popular-names-by-country-dataset
Rose,FR,8,N-FR-1-F-8,sigpwned popular-names-by-country-dataset
ChloÉ,FR,9,N-FR-1-F-9,sigpwned popular-names-by-country-dataset
Anna,FR,10,N-FR-1-F-10,sigpwned popular-names-by-country-dataset
Olivia,GB,1,N-GB-1-F-1,sigpwned popular-names-by-country-dataset
Amelia,GB,2,N-GB-1-F-2,sigpwned popular-names-by-country-dataset
Isla,GB,3,N-GB-1-F-3,sigpwned popular-names-by-country-dataset
Ava,GB,4,N-GB-1-F-4,sigpwned popular-names-by-country-dataset
Ivy,GB,5,N-GB-1-F-5,sigpwned popular-names-by-country-dataset
