name,source_item,source
Geoscientist,,dariusk/corpora occupations
Glazier,,dariusk/corpora occupations
Government Program Eligibility Interviewer,,dariusk/corpora occupations
Graduate Teaching Assistant,,dariusk/corpora occupations
Graphic Designer,,dariusk/corpora occupations
Groundskeeper,,dariusk/corpora occupations
Groundskeeping Worker,,dariusk/corpora occupations
Gynecologist,,dariusk/corpora occupations
Hairdresser,,dariusk/corpora occupations
Hairstylist,,dariusk/corpora occupations
Hand Grinding Worker,,dariusk/corpora occupations
Hand Laborer,,dariusk/corpora occupations
Hand Packager,,dariusk/corpora occupations
Hand Packer,,dariusk/corpora occupations
Hand Polishing Worker,,dariusk/corpora occupations
Hand Sewer,,dariusk/corpora occupations
Hazardous Materials Removal Worker,,dariusk/corpora occupations
Head Cook,,dariusk/corpora occupations
Health And Safety Engineer,,dariusk/corpora occupations
Health Educator,,dariusk/corpora occupations
Health Information Technician,,dariusk/corpora occupations
Health Services Manager,,dariusk/corpora occupations
Health Specialties Teacher,,dariusk/corpora occupations
Healthcare Social Worker,,dariusk/corpora occupations
Hearing Officer,,dariusk/corpora occupations
Heat Treating Equipment Setter,,dariusk/corpora occupations
Heating Installer,,dariusk/corpora occupations
Heating Mechanic,,dariusk/corpora occupations
Heavy Truck Driver,,dariusk/corpora occupations
Highway Maintenance Worker,,dariusk/corpora occupations
Historian,,dariusk/corpora occupations
History Teacher,,dariusk/corpora occupations
Hoist And Winch Operator,,dariusk/corpora occupations
Home Appliance Repairer,,dariusk/corpora occupations
Home Economics Teacher,,dariusk/corpora occupations
Home Entertainment Installer,,dariusk/corpora occupations
Home Health Aide,,dariusk/corpora occupations
Home Management Advisor,,dariusk/corpora occupations
Host,,dariusk/corpora occupations
Hostess,,dariusk/corpora occupations
Hostler,,dariusk/corpora occupations
Hotel Desk Clerk,,dariusk/corpora occupations
Housekeeping Cleaner,,dariusk/corpora occupations
Human Resources Assistant,,dariusk/corpora occupations
Human Resources Manager,,dariusk/corpora occupations
Human Service Assistant,,dariusk/corpora occupations
Hunter,,dariusk/corpora occupations
Hydrologist,,dariusk/corpora occupations
Illustrator,,dariusk/corpora occupations
Industrial Designer,,dariusk/corpora occupations
Industrial Engineer,,dariusk/corpora occupations
Industrial Engineering Technician,,dariusk/corpora occupations
Industrial Machinery Mechanic,,dariusk/corpora occupations
Industrial Production Manager,,dariusk/corpora occupations
Industrial Truck Operator,,dariusk/corpora occupations
Industrial-Organizational Psychologist,,dariusk/corpora occupations
Information Clerk,,dariusk/corpora occupations
Information Research Scientist,,dariusk/corpora occupations
Information Security Analyst,,dariusk/corpora occupations
Information Systems Manager,,dariusk/corpora occupations
Inspector,,dariusk/corpora occupations
Instructional Coordinator,,dariusk/corpora occupations
Instructor,,dariusk/corpora occupations
Insulation Worker,,dariusk/corpora occupations
Insurance Claims Clerk,,dariusk/corpora occupations
Insurance Sales Agent,,dariusk/corpora occupations
Insurance Underwriter,,dariusk/corpora occupations
Intercity Bus Driver,,dariusk/corpora occupations
Interior Designer,,dariusk/corpora occupations
Internist,,dariusk/corpora occupations
Interpreter,,dariusk/corpora occupations
Interviewer,,dariusk/corpora occupations
Investigator,,dariusk/corpora occupations
Jailer,,dariusk/corpora occupations
Janitor,,dariusk/corpora occupations
Jeweler,,dariusk/corpora occupations
Judge,,dariusk/corpora occupations
Judicial Law Clerk,,dariusk/corpora occupations
Kettle Operator,,dariusk/corpora occupations
Kiln Operator,,dariusk/corpora occupations
Kindergarten Teacher,,dariusk/corpora occupations
Laboratory Animal Caretaker,,dariusk/corpora occupations
Landscape Architect,,dariusk/corpora occupations
Landscaping Worker,,dariusk/corpora occupations
Lathe Setter,,dariusk/corpora occupations
Laundry Worker,,dariusk/corpora occupations
Law Enforcement Teacher,,dariusk/corpora occupations
Law Teacher,,dariusk/corpora occupations
Lawyer,,dariusk/corpora occupations
Layout Worker,,dariusk/corpora occupations
Leather Worker,,dariusk/corpora occupations
Legal Assistant,,dariusk/corpora occupations
Legal Secretary,,dariusk/corpora occupations
Legislator,,dariusk/corpora occupations
Librarian,,dariusk/corpora occupations
Library Assistant,,dariusk/corpora occupations
Library Science Teacher,,dariusk/corpora occupations
Library Technician,,dariusk/corpora occupations
Licensed Practical Nurse,,dariusk/corpora occupations
Licensed Vocational Nurse,,dariusk/corpora occupations
Life Scientist,,dariusk/corpora occupations
Lifeguard,,dariusk/corpora occupations
Light Truck Driver,,dariusk/corpora occupations
Line Installer,,dariusk/corpora occupations
Literacy Teacher,,dariusk/corpora occupations
Literature Teacher,,dariusk/corpora occupations
Loading Machine Operator,,dariusk/corpora occupations
Loan Clerk,,dariusk/corpora occupations
Loan Interviewer,,dariusk/corpora occupations
Loan Officer,,dariusk/corpora occupations
Lobby Attendant,,dariusk/corpora occupations
Locker Room Attendant,,dariusk/corpora occupations
Locksmith,,dariusk/corpora occupations
Locomotive Engineer,,dariusk/corpora occupations
Locomotive Firer,,dariusk/corpora occupations
Lodging Manager,,dariusk/corpora occupations
Log Grader,,dariusk/corpora occupations
Logging Equipment Operator,,dariusk/corpora occupations
Logistician,,dariusk/corpora occupations
Machine Feeder,,dariusk/corpora occupations
Machinist,,dariusk/corpora occupations
Magistrate Judge,,dariusk/corpora occupations
Magistrate,,dariusk/corpora occupations
Maid,,dariusk/corpora occupations
Mail Clerk,,dariusk/corpora occupations
Mail Machine Operator,,dariusk/corpora occupations
Mail Superintendent,,dariusk/corpora occupations
Maintenance Painter,,dariusk/corpora occupations
