name,iso6391,iso6392,source_item,source
Sichuan Yi,ii,,,umpirsky/language-list
Sicilian,,scn,,umpirsky/language-list
Sidamo,,sid,,umpirsky/language-list
Siksika,,bla,,umpirsky/language-list
Silesian,,szl,,umpirsky/language-list
Simplified Chinese,,,,umpirsky/language-list
Sindhi,sd,,,umpirsky/language-list
Sinhala,si,,,umpirsky/language-list
Skolt Sami,,sms,,umpirsky/language-list
Slave,,den,,umpirsky/language-list
Slovak,sk,,,umpirsky/language-list
Slovenian,sl,,,umpirsky/language-list
Soga,,xog,,umpirsky/language-list
Sogdien,,sog,,umpirsky/language-list
Somali,so,,,umpirsky/language-list
Soninke,,snk,,umpirsky/language-list
South Azerbaijani,,azb,,umpirsky/language-list
South Ndebele,nr,,,umpirsky/language-list
Southern Altai,,alt,,umpirsky/language-list
Southern Sami,,sma,,umpirsky/language-list
Southern Sotho,st,,,umpirsky/language-list
Spanish,es,,,umpirsky/language-list
Sranan Tongo,,srn,,umpirsky/language-list
Standard Moroccan Tamazight,,zgh,,umpirsky/language-list
Sukuma,,suk,,umpirsky/language-list
Sumerian,,sux,,umpirsky/language-list
Sundanese,su,,,umpirsky/language-list
Susu,,sus,,umpirsky/language-list
Swahili,sw,,,umpirsky/language-list
Swati,ss,,,umpirsky/language-list
Swedish,sv,,,umpirsky/language-list
Swiss French,,,,umpirsky/language-list
Swiss German,,gsw,,umpirsky/language-list
Swiss High German,,,,umpirsky/language-list
Syriac,,syr,,umpirsky/language-list
Tachelhit,,shi,,umpirsky/language-list
Tagalog,tl,,,umpirsky/language-list
Tahitian,ty,,,umpirsky/language-list
Taita,,dav,,umpirsky/language-list
Tajik,tg,,,umpirsky/language-list
Talysh,,tly,,umpirsky/language-list
Tamashek,,tmh,,umpirsky/language-list
Tamil,ta,,,umpirsky/language-list
Taroko,,trv,,umpirsky/language-list
Tasawaq,,twq,,umpirsky/language-list
Tatar,tt,,,umpirsky/language-list
Telugu,te,,,umpirsky/language-list
Tereno,,ter,,umpirsky/language-list
Teso,,teo,,umpirsky/language-list
Tetum,,tet,,umpirsky/language-list
Thai,th,,,umpirsky/language-list
Tibetan,bo,,,umpirsky/language-list
Tigre,,tig,,umpirsky/language-list
